side,event,frame,time_s
left,heel_strike,13,0.52
left,heel_strike,43,1.72
left,heel_strike,73,2.92
left,heel_strike,103,4.12
left,heel_strike,133,5.32
left,heel_strike,163,6.52
left,heel_strike,193,7.72
left,heel_strike,223,8.92
left,heel_strike,253,10.12
left,heel_strike,283,11.32
left,heel_strike,313,12.52
left,heel_strike,343,13.72
left,heel_strike,373,14.92
left,heel_strike,403,16.12
left,heel_strike,432,17.28
left,heel_strike,462,18.48
left,heel_strike,491,19.64
left,toe_off,3,0.12
left,toe_off,32,1.28
left,toe_off,62,2.48
left,toe_off,92,3.68
left,toe_off,122,4.88
left,toe_off,152,6.08
left,toe_off,182,7.28
left,toe_off,212,8.48
left,toe_off,242,9.68
left,toe_off,272,10.88
left,toe_off,302,12.08
left,toe_off,331,13.24
left,toe_off,362,14.48
left,toe_off,391,15.64
left,toe_off,422,16.88
left,toe_off,450,18.0
left,toe_off,480,19.2
right,heel_strike,28,1.12
right,heel_strike,58,2.32
right,heel_strike,88,3.52
right,heel_strike,118,4.72
right,heel_strike,148,5.92
right,heel_strike,178,7.12
right,heel_strike,208,8.32
right,heel_strike,238,9.52
right,heel_strike,268,10.72
right,heel_strike,298,11.92
right,heel_strike,327,13.08
right,heel_strike,357,14.28
right,heel_strike,387,15.48
right,heel_strike,417,16.68
right,heel_strike,446,17.84
right,heel_strike,476,19.04
right,toe_off,17,0.68
right,toe_off,47,1.88
right,toe_off,77,3.08
right,toe_off,107,4.28
right,toe_off,137,5.48
right,toe_off,168,6.72
right,toe_off,198,7.92
right,toe_off,227,9.08
right,toe_off,257,10.28
right,toe_off,287,11.48
right,toe_off,317,12.68
right,toe_off,347,13.88
right,toe_off,377,15.08
right,toe_off,407,16.28
right,toe_off,437,17.48
right,toe_off,466,18.64
right,toe_off,495,19.8
