side,event,frame,time_s
left,heel_strike,1,0.04
left,heel_strike,32,1.28
left,heel_strike,63,2.52
left,heel_strike,102,4.08
left,heel_strike,127,5.08
left,heel_strike,152,6.08
left,heel_strike,184,7.36
left,toe_off,48,1.92
left,toe_off,82,3.28
left,toe_off,113,4.52
left,toe_off,173,6.92
right,heel_strike,35,1.4
right,heel_strike,67,2.68
right,heel_strike,95,3.8
right,heel_strike,128,5.12
right,heel_strike,158,6.32
right,heel_strike,190,7.6
right,toe_off,24,0.96
right,toe_off,54,2.16
right,toe_off,108,4.32
right,toe_off,170,6.8
